Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M02_T1,T1,175.40232,3730.725,,,,774.03,3367.755,2844.9,2122.5,,5000,2000,238519.0378,,,
M03_T1,T1,0.05,1,8042.4,4051110,,17.37,,,,,506182.7306,2000,551098.0198,16129.21652,96105.09,
M04_T2,T2,0.05,1,,,644.58,,,6393.75,,,4506719.661,3083070.479,2000,1817.043555,,387685.9749
M05_T2,T2,24.6231,1,1344.42,71479.5,,,10.455,,,,5000,280032,2000,,,
M06_T2,T2,0.05,301.545,,,,,,,,,1997262.352,2000,2000,,,
M07_T2,T2,22.1277,121.09335,2238.75,,,,,,,215346.15,5000,2000,2000,,779407.095,
M08_T2,T2,0.05,39.12,550.74,,1.005,,,,,99543.3,3526999.532,2000,2000,,409410071.9,
M09_T3,T3,0.05,1,513.465,190879.5,,,,,,,3416332.272,2000,2000,,,
M10_T3,T3,0.24,1,,,,,,,,,5000,2000,2000,,82988328.42,
M11_T3,T3,0.05,1,,,,6.6,,,,,1093333.641,2000,14540.56667,,,
M12_T3,T3,0.05,1,,15000,,,,,,,910320.6561,85879.5,2000,,,
M13_T3,T3,0.05,1,12.075,,,,149.52,,,,162020.8676,2000,26871.06638,,,
M14_T3,T3,0.05,1.59,130.26,,,,,,,,244849.7277,2000,2000,,,
M15_T3,T3,13.69995,4.89015,,,,,,,,,5000,2000,2000,,,
M16_T4,T4,0.93,1,92.52,2820,,,,,,,5000,2000,2000,,,
M17_T4,T4,0.05,12.6,,,,,,,,,144151.6502,2000,2000,,,
M18_T4,T4,0.05,8.325,,3763.5,,,,,,,98546.04201,2000,2000,,,
M19_T4,T4,0.05,1,,1029,,,,,,,711900,2000,2000,,,
M20_T4,T4,1.215,1,,,,,,,,,5000,2000,2000,,,
M21_T4,T4,0.05,1,,,,,,,,,5000,2000,2000,,,
,,0.293685,1,,1089,,,,,,,5000,8758.5,2000,,,
